1,071,904
751,381
488,889
830,504
322,961
1,045,186
264,112
545,703
758,388
814,389
519,895
784,999
447,005
465,445
161,969
844,938
585,132
711,386
770,559
680,983
349,902
527,492
625,620
145,769
278,743
481,594
439,557
213,122
180,212
272,065
454,516
95,571
495,932
309,699
479,572
557,394
546,922
62,840
249,013
360,007
80,077
244,430
33,721
155,574
433,401
216,576
297,265
68,920
237,603
380,225
540,726
78,867
162,865
555,796
450,505
66,255
321,465
672,751
325,439
447,680
223,271
598,332
430,863
168,022
320,991
78,329
356,779
497,983
351,134
130,531
143,215
416,840
118,641
93,024
361,740
55,469
81,076
146,293
378,814
410,111
437,665
305,714
480,170
296,956
217,584
99,981
74,994
147,914
69,011
120,126
57,490
57,417
265,075
135,618
183,169
275,055
36,241
70,921
117,819
190,549
75,713
336,055
160,636
102,421
395,178
49,855
604,923
93,088
505,702
94,509
54,505
392,241
369,869
68,966
110,551
168,689
313,115
377,485
34,819
74,369
297,114
111,071
81,135
35,316
326,683
41,744
61,069
344,351
27,215
55,197
285,542
367,352
52,508
348,568
41,458
161,747
84,470
43,205
26,777
397,628
475,862
277,636
267,827
366,430
64,124
216,669
25,742
42,227
192,425
202,044
459,794
102,995
470,244
175,041
312,510
148,410
56,791
127,072
180,270
39,033
190,877
73,505
406,678
88,095
507,750
52,582
65,745
568,037
249,971
183,277
263,344
27,843
69,929
378,300
303,571
252,241
106,455
44,437
47,119
288,159
182,230
46,028
316,945
282,250
398,128
126,624
120,868
121,059
67,759
110,584
322,172
344,294
36,479
44,571
149,389
28,676
373,745
207,589
38,192
43,710
39,917
32,409
32,242
54,451
53,501
220,323
213,984
425,904
65,291
33,518
66,041
51,331
69,583
328,336
27,430
63,858
407,875
63,443
246,325
519,625
33,873
38,373
303,847
30,643
43,524
344,256
60,767
362,442
316,890
86,593
82,374
69,702
352,517
388,592
436,151
276,674
36,751
103,929
63,865
83,178
132,672
53,307
189,229
43,438
35,695
256,159
37,081
45,893
100,974
62,517
